City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,kondopoga,62.2057,34.2614,31.69,89,12,8.99,RU,1706635906
210,sijunjung,-0.6876,100.9537,73.56,96,100,0.65,ID,1706635906
211,east london,-33.0153,27.9116,74.34,83,100,10.36,ZA,1706635907
212,invercargill,-46.4,168.35,48.02,93,55,1.99,NZ,1706635898
213,nalut,30.3333,10.85,52.54,43,8,10.16,LY,1706635908
214,puerto leguizamo,-0.1934,-74.7819,95.86,40,94,1.81,CO,1706635908
215,saipan,15.1355,145.701,77.7,65,100,17.27,MP,1706635495
216,martuk,50.7475,56.5056,19.71,96,100,6.93,KZ,1706635910
217,quellon,-43.1167,-73.6167,65.5,59,10,7.14,CL,1706635910
218,kamaishi,39.2667,141.8833,36.03,75,5,4.54,JP,1706635911
219,champerico,14.3,-91.9167,91.94,64,7,9.86,GT,1706635911
220,rio grande,-32.035,-52.0986,82.51,58,2,14.88,BR,1706635801
221,live oak,36.9836,-121.9805,64.83,73,0,1.99,US,1706635913
222,laguna,38.421,-121.4238,66.09,84,0,3.44,US,1706635913
223,kruisfontein,-34.0033,24.7314,72.88,86,100,7.45,ZA,1706635914
224,papao,-17.75,-149.55,80.28,81,100,3.71,PF,1706635915
225,talnakh,69.4865,88.3972,1.2,79,99,11.36,RU,1706635915
226,vila do maio,15.1333,-23.2167,81.39,66,7,13.29,CV,1706635916
227,lazaro cardenas,17.9583,-102.2,82.72,61,100,2.93,MX,1706635748
228,zelenogorskiy,55.0333,87.0,-8.93,100,100,2.55,RU,1706635917
229,mawu,29.5923,107.3139,44.67,86,90,0.65,CN,1706635917
230,cold lake,54.4502,-110.2017,28.35,93,100,8.05,CA,1706635918
231,saint-louis,16.3333,-15.0,91.04,7,36,9.44,SN,1706635918
232,tarko-sale,64.9225,77.785,-5.3,95,16,15.77,RU,1706635919
233,harstad,68.799,16.5293,42.19,89,100,51.0,NO,1706635920
234,san patricio,28.017,-97.5169,65.91,54,100,1.7,US,1706635741
235,gejiu,23.306,103.1635,42.75,96,26,3.94,CN,1706635921
236,hasaki,35.7333,140.8333,36.0,63,74,5.03,JP,1706635921
237,sosnovo-ozerskoye,52.5249,111.5418,-32.51,100,69,2.71,RU,1706635922
238,ust-nera,64.5667,143.2,-32.12,100,99,2.01,RU,1706635923
239,ceeldheer,3.8488,47.1806,77.67,77,64,18.41,SO,1706635923
240,charlottetown,46.2352,-63.1267,22.77,71,100,18.41,CA,1706635925
241,tshabong,-26.05,22.45,83.32,44,90,6.91,BW,1706635925
242,frutal,-20.0247,-48.9406,96.93,17,65,9.89,BR,1706635926
243,caleta de carquin,-11.0925,-77.6267,79.36,73,86,12.75,PE,1706635926
244,'ahuimanu,21.4447,-157.8378,73.11,94,75,0.0,US,1706635927
245,portsmouth,50.799,-1.0913,47.21,79,100,1.99,GB,1706635721
246,buritizeiro,-17.3511,-44.9622,84.85,63,100,1.59,BR,1706635928
247,lander,42.833,-108.7307,54.19,72,0,4.61,US,1706635814
248,new norfolk,-42.7826,147.0587,60.3,82,67,3.51,AU,1706635929
249,vernon,50.2581,-119.2691,45.3,95,100,6.91,CA,1706635861
250,magadan,59.5667,150.8,-14.22,85,48,6.31,RU,1706635931
251,bengkulu,-3.8004,102.2655,76.73,91,100,3.71,ID,1706635931
252,gemena,3.25,19.7667,81.19,33,97,2.66,CD,1706635932
253,pyt-yakh,60.7499,72.8582,-2.34,97,88,7.47,RU,1706635932
254,choibalsan,48.0667,114.5,-20.49,94,8,9.51,MN,1706635933
255,kalmunai,7.4167,81.8167,77.74,87,22,5.3,LK,1706635934
256,nichinan,31.6,131.3667,49.68,86,98,1.39,JP,1706635934
257,sinabang,2.4803,96.3801,80.46,82,97,5.75,ID,1706635935
258,maragogi,-9.0122,-35.2225,85.66,56,10,9.55,BR,1706635935
259,planadas,3.197,-75.6451,84.63,58,95,3.15,CO,1706635936
260,lihue,21.9789,-159.3672,69.39,89,40,5.75,US,1706635937
261,poputnaya,44.5125,41.4392,21.67,90,10,4.36,RU,1706635938
262,albu kamal,34.45,40.9186,50.79,65,88,8.5,SY,1706635938
